Method,Nerfacto PSNR,Nerfacto SSIM,Nerfacto LPIPS,Splatfacto PSNR,Splatfacto SSIM,Splatfacto LPIPS,Reproj. Error,Track length,P2M Prec.,P2M average
Original,22.01,0.701,0.522,23.42,0.771,0.33,1.162,5.59,0.468,0.38
MOISST,22.69,0.735,0.458,24.6,0.813,0.285,0.98,6.12,0.468,0.366
