Method,Nerfacto PSNR,Nerfacto SSIM,Nerfacto LPIPS,Splatfacto PSNR,Splatfacto SSIM,Splatfacto LPIPS,Reproj. Error,Track length,P2M Prec.,P2M average
Original,20.53,0.711,0.317,21.39,0.752,0.26,0.563,6.32,0.772,0.098
MOISST,20.63,0.717,0.312,21.43,0.753,0.258,0.6,6.34,0.766,0.086
