Method,Nerfacto PSNR,Nerfacto SSIM,Nerfacto LPIPS,Splatfacto PSNR,Splatfacto SSIM,Splatfacto LPIPS,Reproj. Error,Track length,P2M Prec.,P2M average
Original,20.75,0.709,0.526,20.64,0.731,0.446,1.521,6.12,0.46,0.354
MOISST,21.68,0.781,0.395,25.47,0.854,0.26,1.001,8.09,0.722,0.108
