Method,Nerfacto PSNR,Nerfacto SSIM,Nerfacto LPIPS,Splatfacto PSNR,Splatfacto SSIM,Splatfacto LPIPS,Reproj. Error,Track length,P2M Prec.,P2M average
Original,23.24,0.763,0.473,22.04,0.765,0.437,1.207,5.9,0.444,0.446
MOISST,24.32,0.789,0.426,24.48,0.805,0.36,1.067,6.43,0.702,0.358
